Município;IDH-M;IDH-R;IDH-L;IDH-E
Pracinha;0,696;0,658;0,814;0,629
Elias Fausto;0,695;0,701;0,822;0,583
Areiópolis;0,695;0,686;0,823;0,594
Cajati;0,694;0,658;0,832;0,611
Cabrália Paulista;0,694;0,667;0,811;0,619
Itaberá;0,693;0,652;0,803;0,636
Lagoinha;0,693;0,686;0,797;0,609
São José da Bela Vista;0,693;0,679;0,844;0,58
Ouro Verde;0,692;0,666;0,814;0,612
Eldorado;0,691;0,633;0,847;0,615
Pilar do Sul;0,69;0,674;0,82;0,594
Coronel Macedo;0,69;0,653;0,811;0,619
Sarutaiá;0,688;0,679;0,794;0,603
Álvaro de Carvalho;0,688;0,669;0,805;0,605
Guareí;0,687;0,692;0,805;0,583
Altair;0,687;0,698;0,8;0,581
Santa Maria da Serra;0,686;0,688;0,82;0,571
Serra Azul;0,686;0,697;0,81;0,572
Arandu;0,685;0,675;0,806;0,592
São José do Barreiro;0,684;0,666;0,813;0,591
Cunha;0,684;0,672;0,826;0,576
Tapiraí;0,681;0,647;0,846;0,578
Boa Esperança do Sul;0,681;0,692;0,811;0,562
Arapeí;0,68;0,634;0,812;0,612
Canitar;0,68;0,658;0,791;0,605
Itaóca;0,68;0,627;0,787;0,637
Taquarivaí;0,679;0,617;0,811;0,626
Quadra;0,678;0,7;0,822;0,541
Nazaré Paulista;0,678;0,681;0,818;0,559
Silveiras;0,678;0,657;0,812;0,584
Itariri;0,677;0,642;0,837;0,577
Pedra Bela;0,677;0,671;0,796;0,581
Marabá Paulista;0,677;0,65;0,809;0,591
Guapiara;0,675;0,634;0,806;0,602
Iaras;0,674;0,664;0,848;0,543
Sete Barras;0,673;0,651;0,832;0,562
Balbinos;0,669;0,69;0,809;0,537
Tejupá;0,668;0,668;0,794;0,563
Buri;0,667;0,642;0,799;0,578
Riversul;0,664;0,634;0,799;0,577
Itapirapuã Paulista;0,661;0,595;0,816;0,594
Bom Sucesso de Itararé;0,66;0,605;0,775;0,613
Barra do Chapéu;0,66;0,617;0,779;0,599
Redenção da Serra;0,657;0,633;0,799;0,56
Natividade da Serra;0,655;0,664;0,814;0,52
Nova Campina;0,651;0,598;0,799;0,577
Barra do Turvo;0,641;0,625;0,792;0,532
Ribeirão Branco;0,639;0,592;0,797;0,553
