Município;Agropecuária;Indústria;Administração Pública;Serviços Públicos;Impostos;PIB;PIB per capta
Mairiporã;1612,118745;271347,8079;316080,1213;928300,6547;199394,4058;1716735,109;18376,91996
Manduri;42918,91882;28730,84835;36051,27304;86456,67703;15375,56206;209533,2793;22343,06668
Marabá Paulista;58934,96702;7678,306646;28251,55841;23409,47654;2358,185024;120632,4936;24654,09639
Maracaí;79848,19591;60146,04014;58393,62398;185768,6501;31090,36612;415246,8762;30820,66921
Marapoama;30412,22964;72724,05223;17056,52854;40510,44702;12350,3979;173053,6553;61149,70153
Mariápolis;20533,84777;3261,754308;18078,18153;17773,67698;1104,443196;60751,90379;15345,26491
Marília;71296,66462;1212874,876;914486,389;4703323,648;817625,7684;7719607,347;33950,24781
Marinópolis;7776,384911;1814,082351;12670,32111;11338,06216;989,8751959;34588,72573;16470,82178
Martinópolis;54787,88663;49155,29078;104816,6164;228019,0772;26073,29028;462852,1612;18336,58827
Matão;76076,12257;1376055,046;303190,9621;1570132,763;496388,0558;3821842,949;48273,26861
Mauá;17,30744261;6017985,235;1407372,491;6658128,122;2202905,411;16286408,57;36360,81402
Mendonça;27465,80229;91187,78754;27884,8319;72827,05694;20352,18709;239717,6658;48584,85321
Meridiano;28191,58752;133512,3308;22136,16864;82255,60428;23671,24372;289766,9349;76759,45296
Mesópolis;28739,7039;2633,515793;12890,90098;12044,88892;969,9366695;57278,94627;30306,32078
Miguelópolis;451233,7107;316620,9638;101942,5035;232559,2646;18722,13322;1121078,576;53003,57316
Mineiros do Tietê;26900,17468;25177,08165;45628,345;72626,08686;12697,79051;183029,4787;14722,44841
Mira Estrela;20720,89665;4918,086392;18491,92256;20719,78885;1806,613837;66657,30829;22945,71714
Miracatu;80013,9072;24865,13452;81718,46493;206159,3546;33893,74453;426650,6058;21343,20189
Mirandópolis;91547,78083;96497,91698;103589,6393;276460,7266;47949,14403;616045,2077;21741,49313
Mirante do Paranapanema;80546,11838;110291,7364;71264,2492;124945,0535;25231,26781;412278,4253;23470,25079
Mirassol;42503,34687;524128,3322;227468,424;961057,984;201478,6196;1956636,707;34517,71556
Mirassolândia;48146,69928;7463,427031;20401,71371;29307,01931;4806,142239;110125,0016;24044,76017
Mococa;154305,931;511077,1307;257500,513;1077027,365;228480,9083;2228391,848;33456,32297
Mogi das Cruzes;341252,7282;3203829,819;1460490,4;7617187,427;1847862,611;14470622,98;34496,08088
Mogi Guaçu;197938,1457;1560981,742;601171,8819;2425743,397;771585,1767;5557420,343;38287,69294
Mogi Mirim;183590,5147;1042717,514;416098,0549;2122122,788;692366,3071;4456895,179;49858,9907
Mombuca;25927,36909;15658,11953;17720,98213;29869,88266;3724,274801;92900,62821;28041,24003
Monções;7588,303216;16959,56632;16548,30499;26744,30548;5621,484665;73461,96467;33915,95784
Mongaguá;7783,552747;129755,9669;230224,8258;568922,9043;49347,53946;986034,7893;18900,77995
Monte Alegre do Sul;40089,51641;21263,4567;32711,01872;62847,35402;9659,334668;166570,6805;21948,96304
Monte Alto;164574,4044;280244,755;177017,8086;775243,6375;225673,0726;1622753,678;33836,27011
Monte Aprazível;84579,20718;209809,5944;91503,49133;294082,9064;44514,78832;724489,9876;31438,05544
Monte Azul Paulista;51759,99956;24119,05225;76523,76858;355805,4786;54184,93783;562393,2368;30551,56654
Monte Castelo;36642,23373;7154,933636;20663,45839;33231,40353;4101,498579;101793,5279;25403,9251
Monte Mor;35564,05521;1403421,912;237641,137;774654,1737;466715,2925;2917996,57;51775,16581
Monteiro Lobato;3179,335399;6658,68293;19732,20137;27748,24173;3252,501869;60570,96329;13879,68911
Morro Agudo;283030,9592;358032,7939;137245,5665;462288,4948;88362,15719;1328959,972;42346,49242
Morungaba;18820,40799;133468,1931;51939,58679;146665,1639;74007,76154;424901,1133;33156,54415
Motuca;33618,74392;8126,280446;20430,70841;22341,6465;2614,485641;87131,86491;19208,96493
Murutinga do Sul;11239,06703;2088,358651;22809,28158;21530,97069;1940,344098;59608,02205;14005,64428
Nantes;32305,78567;3865,397218;19072,19577;81541,83345;13650,17982;150435,3919;50737,06305
Narandiba;48381,24242;59557,49159;27023,59127;57363,65207;12578,86717;204904,8445;43867,44691
Natividade da Serra;9456,62036;3970,779062;30456,32583;23604,67611;1994,272434;69482,6738;10390,70941
Nazaré Paulista;15135,8248;57549,93075;72740,61628;146027,1973;43215,5285;334669,0976;18757,37572
Neves Paulista;36939,68666;47989,79114;33675,31956;84578,41182;16511,89445;219695,1036;25319,2467
Nhandeara;63708,11196;41497,78562;44977,239;151360,4998;16468,72228;318012,3586;29472,87847
Nipoã;20922,77882;10836,6794;21247,49045;30020,07812;4323,696434;87350,72322;18270,38762
Nova Aliança;46189,56101;42831,21385;29741,24838;61606,24204;10166,4303;190534,6956;30296,50113
Nova Campina;15096,24866;114728,9288;37599,68423;48471,7237;19667,96339;235564,5487;25321,35319
Nova Canaã Paulista;12216,15576;2261,295105;12171,2193;9149,534205;822,7433889;36620,94776;18430,27064
Nova Castilho;17954,96977;1316,227054;11592,56974;8169,923904;691,8816728;39725,57214;34128,4984
Nova Europa;22856,98314;115037,6147;46523,93245;97562,12289;21816,81148;303797,4646;29429,18383
Nova Granada;123631,9047;30203,33671;74750,21434;206677,3995;23918,83615;459181,6915;22496,77583
Nova Guataporanga;3918,096943;1806,16015;12148,1085;9184,733291;883,7394186;27940,83831;12770,03579
Nova Independência;20716,54812;48084,9367;22461,6501;32371,67558;10595,70578;134230,5163;37843,39337
Nova Luzitânia;6419,491153;2924,408276;18417,1488;17419,64678;1321,671984;46502,367;11978,97141
Nova Odessa;14111,98914;836879,796;235227,7257;1582576,352;506274,8489;3175070,712;56554,28577
Novais;14978,62043;1786,439105;22823,35734;18812,52627;1679,9196;60080,86276;11430,90996
Novo Horizonte;160969,9085;222302,5262;158034,7941;605479,1154;121949,7256;1268736,07;33142,70969
Nuporanga;84261,93886;212006,2079;35232,50198;154480,385;41550,61971;527531,6534;73873,63862
Ocauçu;63196,01118;9627,631588;19682,50745;28783,10001;3316,523657;124605,7739;30032,72448
Óleo;52497,18788;4080,830916;14538,0143;15767,16507;1337,859277;88221,05744;34461,35056
Olímpia;141583,1368;542368,3422;216368,708;992258,3918;179764,7496;2072343,328;39986,55749
Onda Verde;32983,78623;19450,98419;22417,49272;41773,72072;6045,001079;122670,9849;29731,21302
Oriente;12990,48887;9461,158922;23363,02265;45264,56827;7974,637096;99053,87581;15937,87221
Orindiúva;51233,41258;192686,4967;34748,13823;119879,585;39513,66928;438061,3018;67094,70084
Orlândia;60631,70344;568394,5039;179171,0803;760264,5715;212884,9755;1781346,835;42851,74007
Osasco;1008,526165;3350007,311;2701829,414;55760880,89;16096769,81;77910495,95;115226,8153
Oscar Bressane;33077,60317;10207,45033;14220,00222;23482,01939;2970,166278;83957,24139;33316,36563
Osvaldo Cruz;33974,51869;206556,062;108885,5241;459294,0767;69738,79131;878448,9729;28168,95857
Ourinhos;55289,03007;515468,6914;428167,1;1743261,867;257461,1105;2999647,799;27690,67544
Ouro Verde;29974,31148;6916,455876;32338,52951;41339,69648;3728,817588;114297,8109;14060,50079
Ouroeste;41575,23304;155340,2073;65458,90724;146796,8097;30327,57415;439498,7314;46829,91277
Pacaembu;29318,72088;6836,883291;51891,95919;103487,9992;8980,671088;200516,2336;15300,74274
Palestina;140022,2249;81473,09181;47533,77669;111748,3206;17942,55499;398719,9689;33610,38261
Palmares Paulista;13864,89146;7369,443495;42919,80663;49978,06889;4228,2472;118360,4577;9546,737997
Palmeira d'Oeste;37931,66458;12741,22724;34772,72092;78380,29012;5488,777401;169314,6803;18326,08294
Palmital;103403,9053;90090,63701;88323,68399;328120,0833;80916,42705;690854,7366;32156,70902
Panorama;38660,44407;22732,49155;60018,07904;135158,163;13606,07654;270175,2542;17991,29348
Paraguaçu Paulista;166003,6162;168144,9842;169069,6717;620509,4972;111405,5872;1235133,356;28309,91672
Paraibuna;9687,577042;53813,77324;73757,94152;117824,6394;18577,55279;273661,484;15223,71406
Paraíso;35925,65529;75965,40142;29697,40204;73147,20156;16846,22188;231581,8822;37539,61456
Paranapanema;131302,8136;30108,57751;88818,02321;294498,6422;48922,17057;593650,227;30760,67294
Paranapuã;41809,61508;5503,329949;18448,72636;29763,87852;3111,359942;98636,90985;25467,8311
Parapuã;108422,9539;48821,88769;42066,40659;137474,7192;21448,20974;358234,1771;33795,67709
Pardinho;25416,90393;63595,66819;30601,31979;139336,2511;24140,08339;283090,2264;46075,88321
Pariquera-Açu;79916,69063;44264,63296;68951,82011;294623,7813;39179,03363;526935,9586;27711,59393
Parisi;18503,46544;2216,939773;13961,81908;12836,56467;1294,446417;48813,23538;23811,33433
Patrocínio Paulista;180337,8621;331401,4268;58320,27014;251243,423;79684,00524;900986,9873;64214,02518
Paulicéia;35282,339;16277,64733;32726,89733;59972,69475;7057,278333;151316,8567;21898,24266
Paulínia;26024,70443;17671369,71;976756,398;11451592,82;5220746,247;35346489,87;357342,0601
Paulistânia;9577,340592;1641,97127;13646,03724;9090,20525;2531,398819;36486,95317;20567,61734
Paulo de Faria;134558,8574;14240,97137;38984,99868;67894,22728;5560,977835;261240,0325;30622,43963
Pederneiras;129781,4079;435441,8624;171356,0639;725179,8387;261821,8067;1723580,98;38834,26041
Pedra Bela;14883,65157;5406,00918;23867,2899;32291,25465;3692,083962;80140,28926;13555,52931
Pedranópolis;28880,15798;3131,429274;16855,29279;13711,71247;1325,00671;63903,59923;26029,97932
Pedregulho;90715,59965;601822,7959;66285,87817;190470,0393;24008,65019;973302,9632;60408,57517
Pedreira;7999,463389;244165,8057;178758,8634;542218,5086;155391,6453;1128534,286;24989,13413
Pedrinhas Paulista;16891,9882;12146,92271;17384,61658;90761,93156;13623,40466;150808,8637;50437,74706
Pedro de Toledo;35696,29453;9688,768763;43470,52706;55188,28545;7238,947082;151282,8229;14093,79755
Penápolis;72150,70491;262570,9531;245560,5679;881242,9191;118594,7368;1580119,882;26266,60043
Pereira Barreto;100872,8119;36325,36665;103907,7939;492493,0935;83971,3278;817570,3938;32345,71901
Pereiras;16209,75126;68601,37643;33134,82154;63991,64303;16082,91427;198020,5065;24305,94164
Peruíbe;38508,66648;175173,8057;273509,3239;795193,2752;64486,51903;1346871,59;20963,63451
Piacatu;26278,26767;7007,616801;24613,32746;35246,23926;2691,439121;95836,89031;16772,29442
Piedade;308782,6561;149557,4563;173200,452;512038,5377;74194,13019;1217773,232;22943,08814
Pilar do Sul;92184,46714;41711,68447;102772,8788;349097,1718;54917,48716;640683,6894;23136,05696
Pindamonhangaba;27629,26177;2430966,457;606473,5849;2754429,174;1183991,526;7003490,004;44054,31079
Pindorama;38940,40311;18081,97468;61783,18073;149873,9884;26684,24546;295363,7924;18522,75131
Pinhalzinho;36604,94938;20211,7502;53299,31628;124182,2131;15967,84969;250266,0787;17531,77434
Piquerobi;11175,81044;4733,10948;18518,05137;17493,59148;2289,527409;54210,09018;15339,58409
Piquete;2658,700457;23328,92205;44769,53777;74088,13098;8380,883204;153226,1745;11140,48091
Piracaia;21070,21255;82238,16259;101968,5851;235857,1018;34890,88737;476024,9494;18358,78551
Piracicaba;186410,0893;4618524,26;1621038,844;10413018,18;5057880,128;21896871,5;57199,31848
Piraju;54582,02743;87302,55997;111983,436;404070,6199;42296,14792;700234,7913;24510,30107
Pirajuí;81969,72057;36912,00401;88704,87598;221979,1991;20798,21899;450364,0187;19438,21566
Pirangi;45428,23652;56167,19983;42462,74974;130989,4797;21175,67947;296223,3453;27491,72578
Pirapora do Bom Jesus;168,0876941;95802,13897;76203,52385;189555,652;34429,65789;396159,0604;22175,15031
Pirapozinho;30145,06254;385677,2597;100823,1315;346098,8744;99308,65303;962052,9812;36357,39319
Pirassununga;111411,7007;468828,5516;295685,4593;1348194,226;381580,4649;2605700,403;35846,25886
Piratininga;26853,33359;21897,72799;50297,13994;106432,7421;12109,99156;217590,9352;16900,26681
Pitangueiras;108356,6135;211665,4207;148850,3779;588430,154;126197,1409;1183499,707;31465,17712
Planalto;39742,23307;81873,01124;27618,12474;56225,23627;14921,28811;220379,8934;44395,6272
Platina;41572,73901;9685,49541;17528,64334;18419,72155;3599,156917;90805,75622;26644,88152
Poá;2155,839038;692289,1809;503104,8252;1280271,856;1738800,462;4216622,163;37374,77542
Poloni;28220,34032;34925,28921;23308,4676;46118,05752;11377,00305;143949,1577;25755,79848
Pompéia;48758,76297;78994,25984;92482,66288;442181,0081;163481,521;825898,2148;39514,77034
Pongaí;23022,41371;4542,191853;18132,20662;28411,13378;2161,684179;76269,63014;22591,71509
Pontal;75336,19917;434781,8298;162993,0266;433626,0786;106999,1069;1213736,241;25896,35454
Pontalinda;36646,0474;3937,926653;20606,96132;21081,84115;2345,091094;84617,86761;19363,35643
Pontes Gestal;39627,72074;47236,58241;19103,44237;37395,62917;9024,027686;152387,4024;60375,35752
Populina;39231,47091;4799,527332;22314,39909;29678,1296;2350,199702;98373,72664;24241,92377
Porangaba;50226,00624;23100,77635;34980,01701;64478,9058;10351,23198;183136,9374;20278,69974
Porto Feliz;165269,2014;444305,0062;230330,3003;796600,0977;289978,32;1926482,926;37865,49768
Porto Ferreira;21186,36387;653884,1285;222655,6182;755759,7432;321532,6383;1975018,492;37012,39654
Potim;1182,778025;40028,21761;79277,43862;90683,33347;15121,24543;226293,0132;11145,79191
Potirendaba;75684,95444;138501,8308;68708,57237;201075,0813;47633,02043;531603,4593;32621,71449
Pracinha;3010,417922;1346,098362;15924,25198;7340,023718;586,2443771;28207,03636;9750,098985
Pradópolis;43530,5441;310085,1194;89728,34711;276043,5492;120820,0656;840207,6255;42168,5132
Praia Grande;3890,029492;720228,6562;1372877,824;4145526,699;446090,4839;6688613,693;22219,53629
Pratânia;47216,06187;7141,392666;22409,53848;29869,17385;5708,106762;112344,2736;22545,50946
Presidente Alves;13147,26731;5092,544231;17986,01934;24728,02132;2342,848811;63296,70101;15652,00322
Presidente Bernardes;33541,1458;14497,6212;56518,84005;133141,6883;16222,61971;253921,9151;18549,33999
Presidente Epitácio;68725,94154;119691,6468;155164,7187;457554,5865;51899,04193;853035,9356;20281,40598
