Município;Agropecuária;Indústria;Administração Pública;Serviços Públicos;Impostos;PIB;PIB per capta
Rinópolis;87746,00344;9358,675686;37732,88661;93571,1049;13623,62192;242032,2926;24757,80407
Rio Claro;70869,5454;3198746,283;853758,7916;3972683,052;1322332,982;9418390,654;47832,3988
Rio das Pedras;38751,84298;261870,601;141122,7029;528575,9052;223832,1317;1194153,184;36141,55697
Rio Grande da Serra;610,8583048;168059,0369;153046,2723;245362,7856;43858,94162;610937,8948;12707,7522
Riolândia;89047,89252;15127,00157;50410,48076;65839,09835;5929,339341;226353,8125;20264,44159
Riversul;14352,09742;4230,730495;24528,12211;19937,48797;1845,367494;64893,80548;11155,88886
Rosana;43658,8841;911244,4987;102730,453;182153,468;15312,57891;1255099,883;67157,14499
Roseira;3330,186206;86680,75619;44217,81679;117076,7518;32201,54504;283507,056;27421,12932
Rubiácea;28042,70537;3237,702577;15565,37575;13872,92928;1297,585297;62016,29828;20678,99242
Rubinéia;28493,97223;3881,489301;21270,27614;25531,08853;2396,7703;81573,59651;27595,93928
Sabino;38612,96154;4834,460709;27256,61542;43388,35876;4018,267147;118110,6636;21876,39629
Sagres;15610,71226;2107,152265;12828,32365;11895,92958;856,9429274;43299,06069;18308,2709
Sales;42494,13414;5855,264009;28375,71435;60929,77286;4689,247786;142344,1331;24171,18919
Sales Oliveira;82711,00048;65689,79863;44703,70932;143403,2739;22798,89489;359306,6772;31924,18278
Salesópolis;18431,81824;10414,64385;62428,72398;99432,19883;9914,32542;200621,7103;12182,51824
Salmourão;19755,09832;4875,901483;21569,70265;23054,97665;1687,668406;70943,34751;14126,51284
Saltinho;14662,1883;44656,73254;34502,72732;107486,7079;33096,61805;234404,9741;30633,16441
Salto;11522,37464;1612488,05;432949,8947;3589788,318;1222254,673;6869003,31;61085,49929
Salto de Pirapora;16309,87938;764871,7883;165449,0751;479480,1031;206951,3744;1633062,22;37940,25092
Salto Grande;22704,60334;57893,25765;36296,71552;80043,34633;12843,81999;209781,7428;23319,44674
Sandovalina;88841,73535;230094,4515;30176,41301;41268,48326;6409,82965;396790,9128;97755,82971
Santa Adélia;83728,24015;10889,65251;58216,36856;152134,2513;18292,06179;323260,5743;21938,28126
Santa Albertina;25439,26968;63704,08329;28596,35654;63230,82614;13044,62132;194015,157;34091,57564
Santa Bárbara d'Oeste;24818,33996;1340919,388;733330,8379;2621172,069;774649,5898;5494890,225;29495,48152
Santa Branca;4751,515592;72223,76733;60466,4845;95792,56007;13333,87906;246568,2066;17538,10417
Santa Clara d'Oeste;23423,32001;6919,041183;14902,39924;19671,73232;2241,982372;67158,47513;33001,70768
Santa Cruz da Conceição;21236,16705;11168,23415;24882,21343;47833,26559;12758,87513;117878,7554;27755,77004
Santa Cruz da Esperança;22551,80315;3945,491387;14368,5708;13663,7585;1074,154962;55603,7788;27243,39971
Santa Cruz das Palmeiras;56523,96831;20831,83444;113207,1345;276766,2563;34580,76936;501909,9629;15385,62819
Santa Cruz do Rio Pardo;124684,6803;597427,4313;182709,2458;910487,2602;227099,9976;2042408,615;44935,50592
Santa Ernestina;21041,82714;5541,212464;23605,49214;38739,68636;3139,357183;92067,57529;16636,714
Santa Fé do Sul;35066,33705;183594,2072;152583,4685;561121,707;81363,68531;1013729,405;33397,99707
Santa Gertrudes;15264,79984;883063,5025;121367,8127;350630,2953;201594,7556;1571921,166;63337,94689
Santa Isabel;49599,14649;274536,6648;208554,5194;659455,46;161486,4207;1353632,211;25184,7922
Santa Lúcia;42792,41294;7133,203143;32094,13003;41727,53741;3614,055421;127361,3389;15029,66001
Santa Maria da Serra;37306,77141;19796,7727;23315,98669;40626,51719;5565,725977;126611,774;21394,3518
Santa Mercedes;21089,9922;3412,309147;15452,35056;16313,32881;20907,10118;77175,0819;27415,65964
Santa Rita do Passa Quatro;65443,01015;68377,83332;102621,8649;343207,3117;61528,98306;641179,0031;24269,61668
Santa Rita d'Oeste;18327,99479;2660,922716;15816,17514;18150,48213;1649,717245;56605,29201;23141,98365
Santa Rosa de Viterbo;35860,89419;253292,0219;98462,20622;281574,0127;99601,59863;768790,7336;30633,9948
Santa Salete;11745,38724;1684,78102;10796,23507;8567,000662;859,6010966;33653,00509;23305,40519
Santana da Ponte Pensa;11858,81854;1818,315623;11159,11962;8932,286543;785,8570847;34554,39741;22394,29515
Santana de Parnaíba;77829,00985;1485227,237;713607,4424;4917537,121;1389422,257;8583623,067;66281,77995
Santo Anastácio;34814,23004;57486,64478;76167,70221;224815,5745;29041,5437;422325,6953;20902,03886
Santo André;843,5223525;5196161,755;2469773,276;16248943,03;3554958,824;27470680,4;39876,20886
Santo Antônio da Alegria;53047,98137;9227,052134;28102,16003;47935,31012;6995,82435;145308,328;22215,00199
Santo Antônio de Posse;143513,9282;146242,9006;97332,57768;513542,0734;143273,6329;1043905,113;46993,11753
Santo Antônio do Aracanguá;78490,00766;22784,36863;47177,27718;59372,82841;7032,821397;214857,3033;26601,12706
Santo Antônio do Jardim;30115,5983;12519,32543;24654,89918;59397,66103;10472,22038;137159,7043;23446,1033
Santo Antônio do Pinhal;7143,840206;6472,82546;29449,25666;55791,95308;4819,361262;103677,2367;15756,41895
Santo Expedito;5173,355943;2891,156124;14658,24205;14249,56805;1127,965953;38100,28812;13034,65211
Santópolis do Aguapeí;12625,95529;3449,304007;18453,57388;24349,34944;1938,598633;60816,78125;13351,6534
Santos;3712,810865;1660997,337;2265702,865;15410578;3191680,792;22532671,8;52940,6956
São Bento do Sapucaí;28556,14481;11286,54636;40249,94359;106446,624;9655,957143;196195,2159;18683,47928
São Bernardo do Campo;7202,978526;9186786,283;3008065,428;24370060,27;8108274,407;44680389,37;55875,28136
São Caetano do Sul;19,10263109;2904911,638;1071207,594;6645659,137;2485161,236;13106958,71;86881,60352
São Carlos;149459,975;3047304,076;983834,1041;5086469,087;1208587,315;10475654,56;44208,90857
São Francisco;15870,83036;2599,809675;15416,66731;13096,94259;1001,098854;47985,34879;17693,71268
São João da Boa Vista;76834,50076;553257,5884;349097,4384;1659526,367;284603,4882;2923319,383;33854,69875
São João das Duas Pontes;13168,42701;3511,508727;13851,00859;10704,61797;796,1612604;42031,72356;16805,96704
São João de Iracema;10153,76298;1197,714275;13224,28705;9439,994728;848,6107208;34864,36975;19030,76952
São João do Pau d'Alho;23549,96108;2420,507073;12582,12542;15330,73283;1245,85497;55129,18137;27345,82409
São Joaquim da Barra;80512,05782;409132,6493;182596,0806;715059,0648;146353,3952;1533653,248;31159,14766
São José da Bela Vista;64474,07157;5205,97077;36048,48185;50616,87927;4685,431136;161030,8346;18672,40661
São José do Barreiro;6969,576059;1884,618367;20893,76992;15744,85045;1445,801431;46938,61623;11535,66386
São José do Rio Pardo;108904,925;356114,7504;207998,6206;873269,4554;180972,8347;1727260,586;32689,1233
São José do Rio Preto;50007,67779;1864500,923;1575732,09;11405587,9;1598139,444;16493968,03;37720,06969
São José dos Campos;16412,7148;15867490,19;2589198,539;16515347,97;4840954,501;39829403,91;57929,97089
São Lourenço da Serra;1346,189569;19115,11055;58471,94281;109850,2897;17968,43402;206751,9666;13708,52451
São Luís do Paraitinga;16024,33523;8690,242986;44567,34383;92097,28989;11489,24599;172868,4579;16446,43306
São Manuel;123024,5663;174851,8529;149285,4183;567544,8451;90007,8488;1104714,531;28180,05539
São Miguel Arcanjo;237311,6083;46423,62519;111429,8627;253222,9581;27974,84035;676362,8947;21263,25551
São Paulo;37648,69859;59119808,83;42958613,89;474646034,4;122526246,4;699288352,2;59788,22596
São Pedro;71831,01119;61464,99047;129512,9312;426567,6203;52062,83277;741439,3859;22141,77226
São Pedro do Turvo;66573,30761;19000,92152;31368,95359;71976,83909;13780,51326;202700,5351;27736,80009
São Roque;29215,38688;398475,2125;328527,0362;1607859,02;360694,0929;2724770,748;32033,89116
São Sebastião;12046,38953;352263,2624;558119,4933;1362827,804;425929,5804;2711186,529;32541,78805
São Sebastião da Grama;77740,18111;37006,26303;44223,35009;149818,7432;17970,43231;326758,9698;27320,98409
São Simão;84368,02705;60015,48088;69938,09288;212866,3875;38519,28033;465707,2687;31704,49103
São Vicente;3169,65366;413975,4253;1316031,496;3138752,751;332377,012;5204306,338;14858,66354
Sarapuí;27523,42609;24520,98205;39881,92536;50926,59422;7421,712746;150274,6405;15362,36357
Sarutaiá;22755,62876;3476,534897;17198,66557;20612,53727;736,7885646;64780,15505;17816,32427
Sebastianópolis do Sul;42636,54227;152447,5954;20163,28115;72716,41748;23537,07414;311500,9104;96469,77715
Serra Azul;46923,60294;13191,1325;49529,46157;51092,62785;4368,903147;165105,728;13797,90473
Serra Negra;43323,29213;75844,58606;112502,7034;437158,3474;52031,75555;720860,6846;26537,35402
Serrana;21468,52654;126523,8816;180680,6058;520974,6311;91466,90146;941114,5465;21978,38735
Sertãozinho;92025,74154;1586297,719;528909,1942;2493480,233;662282,8922;5362995,78;45063,40459
Sete Barras;239231,7344;24002,6327;51983,96572;87573,66323;9473,268922;412265,265;32548,97087
Severínia;22895,4318;11800,13571;70646,58759;115911,1498;12663,00418;233916,3091;14049,87141
Silveiras;6693,512251;3176,070167;28785,46964;25514,69907;3190,32629;67360,07742;11078,9601
Socorro;62307,34595;94144,34086;140302,7668;454034,4804;72143,58132;822932,5153;21530,89964
Sorocaba;33773,56763;7980161,19;2565990,077;15269981,38;6002952,212;31852858,43;49970,28474
Sud Mennucci;55031,57133;14280,42278;38102,92071;62736,59168;9131,218599;179282,7251;23469,39719
Sumaré;108211,3246;3819902,09;906742,914;5392021,581;3517698,25;13744576,16;50680,21681
Suzanápolis;33651,83322;117787,0626;23139,96803;61207,01863;24834,00635;260619,8889;68765,14218
Suzano;234420,6234;3962427,332;993290,2095;4005975,342;1564968,502;10761082,01;38102,03666
Tabapuã;62153,06206;17536,0854;48540,12357;103936,3352;9786,698123;241952,3043;20575,92519
Tabatinga;77448,31849;22486,40552;59510,13981;108332,2863;10447,93611;278225,0862;17903,8022
Taboão da Serra;192,1002218;2256459,522;933986,8544;4394203,327;1259044,618;8843886,421;32498,75582
Taciba;57480,02664;10008,88802;34730,25226;43704,24767;6150,190386;152073,605;25541,41837
Taguaí;27348,03417;20680,99262;47329,08086;112075,8233;18314,85502;225748,7859;17919,41466
Taiaçu;24515,41817;3273,537474;23397,03475;37581,13888;3812,180203;92579,30948;15440,17836
Taiúva;27818,82838;8617,527676;25202,8445;47390,81063;7042,903902;116072,9151;18386,33218
Tambaú;70470,65084;95929,97979;83302,10287;241697,6938;43138,33447;534538,7617;23583,28606
Tanabi;128070,5717;281471,2095;103047,7818;358100,5458;67785,48779;938475,5966;37785,38457
Tapiraí;46341,38636;14022,36298;32515,0425;47502,73623;5304,532978;145686,0611;18800,62731
Tapiratiba;64610,81827;77680,13386;50115,20749;114393,8815;19419,03716;326219,0783;25818,68447
Taquaral;9662,248971;1635,608312;14545,98237;10711,99323;1476,114247;38031,94713;13885,34032
Taquaritinga;127787,1067;239434,2426;219914,4968;777634,1592;104331,4402;1469101,445;27044,81592
Taquarituba;52874,68901;69516,43442;85512,40304;377581,2073;65147,4017;650632,1354;28353,69048
Taquarivaí;64949,44547;14332,55673;26042,11188;116488,5726;20887,53072;242700,2174;43651,11823
Tarabai;15999,84238;10435,62243;29436,03583;45922,17587;6784,872558;108578,5491;15357,64485
Tarumã;70859,51852;289285,2646;63239,25182;366233,3332;100680,1708;890297,539;62512,1148
Tatuí;116431,6021;1015675,678;445486,2364;1807459,127;456100,663;3841153,307;33029,1094
Taubaté;21266,72789;5940670,17;1222656,172;6526335,688;3088794,673;16799723,43;56160,0703
Tejupá;41751,95461;7024,106525;21799,07707;20218,57657;876,4817548;91670,19653;19458,75537
Teodoro Sampaio;86845,78191;73435,56282;85762,54744;209353,1442;23785,34801;479182,3844;21660,89795
Terra Roxa;42937,86752;12980,90966;36266,21535;51410,87534;3984,109905;147579,9778;16509,67421
Tietê;62986,48751;503690,7718;170187,4207;805337,2188;197593,5565;1739795,455;43673,94958
Timburi;14999,32277;2450,217743;15147,43397;14139,12719;1001,640719;47737,74239;18503,00093
Torre de Pedra;1751,632257;1961,096271;12979,94282;10302,64106;869,05553;27864,36793;12120,21224
Torrinha;36443,92983;28969,21648;34441,84376;99047,05462;14432,41528;213334,46;22229,28623
Trabiju;11081,31455;6990,019064;11746,92768;11420,53598;1967,430238;43206,2275;26138,06866
Tremembé;7788,103593;192728,9055;173529,3205;328629,4502;65930,04764;768605,8275;17226,74827
Três Fronteiras;26896,415;12656,45743;24392,05596;39724,76465;3876,440136;107546,1332;19504,19535
Tuiuti;24498,09354;2977,509146;25560,61444;30305,46273;2660,323597;86002,00346;13475,71348
Tupã;154159,8193;239609,0337;222750,9997;1012038,142;131854,7334;1760412,728;27941,28512
Tupi Paulista;43654,73045;8944,392513;58266,60573;158977,6269;12317,7524;282161,108;19058,50105
Turiúba;16628,00177;2534,377834;13845,28774;12379,60533;1656,628623;47043,9013;24489,27709
Turmalina;31557,89869;2936,413256;13005,60092;12641,96417;1265,016699;61406,89375;33157,07006
Ubarana;48697,93951;200126,1178;29886,69426;56760,19566;13846,43277;349317,38;59835,11134
Ubatuba;33054,58431;218189,2361;366796,098;1245923,868;100797,6678;1964761,455;22881,71633
Ubirajara;27070,99014;5781,463708;22006,14546;30973,62848;3366,462072;89198,68985;19420,57258
Uchoa;68149,8719;114066,7315;44728,82461;108880,4272;34028,87391;369854,7291;38422,47342
União Paulista;19712,09863;2447,361533;12993,85002;13034,17516;925,2377812;49112,72312;28923,86521
Urânia;64490,27105;18691,07978;32209,68699;67809,69372;7870,469012;191071,2005;22000,13823
Uru;28719,26608;2640,67381;10988,66451;11298,11278;920,9475081;54567,66469;44837,85102
Urupês;101330,5133;20649,52283;55027,14996;189476,3982;23559,32016;390042,9044;29913,55966
Valentim Gentil;23580,57;109015,2091;49234,2429;118292,8036;27879,48418;328002,3098;26736,4126
Valinhos;37344,76505;1437530,964;551237,2543;2732932,224;975454,5664;5734499,773;47641,00203
Valparaíso;152793,5863;360919,7843;100450,8761;305543,8408;70225,93927;989934,0268;41992,62012
Vargem;8581,882108;9476,025259;36224,65361;51294,48874;7229,793887;112806,8436;11694,67589
Vargem Grande do Sul;51673,87179;123246,3184;152642,5052;522243,322;95779,35989;945585,3773;23140,38072
Vargem Grande Paulista;26628,83665;380874,3;204821,7126;940985,0533;251991,1098;1805301,012;36220,47695
Várzea Paulista;1779,840296;841136,7983;409110,7772;1052837,584;353754,5006;2658619,501;22765,07686
Vera Cruz;15959,42325;6409,465821;40495,81481;65670,2267;4979,342283;133514,2729;12614,72722
Vinhedo;9487,459051;2632852,713;425112,2554;3670369,723;1992113,567;8729935,717;118676,1425
Viradouro;43298,77093;35060,4797;71138,40845;181360,2267;25284,13006;356142,0159;19730,85961
Vista Alegre do Alto;30578,72928;142273,8775;34994,3569;111702,8353;34144,75291;353694,5519;45952,26086
Vitória Brasil;7395,439185;1672,999279;11981,87815;11372,84199;1364,215978;33787,37458;19252,06529
Votorantim;1024,619377;650471,1403;463135,6149;1572318,973;314832,0185;3001782,366;25752,66696
Votuporanga;47126,53818;529123,9267;332106,9879;1666995,677;232703,7311;2808056,861;31278,48045
Zacarias;45569,97293;7770,605169;18688,38486;19283,22505;2208,210026;93520,39803;37438,1097
