City;Population;Area KM2;Farming;Industry;Public administration;Public services;Taxes;GDP;GDP per capita;HDI-M;HDI-R;HDI-L;HDI-E;FMDI;Latitude;Longitude
Presidente Prudente;218544;560.64;30949.92;1086836.25;802934.26;5123384.87;762707.45;7806812.76;35928.08;0.81;0.79;0.86;0.77;0.86;-221.225.167;-513.882.528
Presidente Venceslau;38000;755.2;31991.35;45466.83;139142.04;464743.91;40549.31;721893.44;18998.7;0.76;0.75;0.84;0.71;0.75;-21.877.116;-518.451.047
Promissão;38873;779.2;80153.63;854666.93;159845.52;574845.54;156639.29;1826150.9;47455.91;0.74;0.72;0.85;0.67;0.78;-215.404.913;-498.574.709
Quadra;3616;205.67;36029.37;4550.14;20916.05;23891.75;3512.75;88900.06;24895.0;0.68;0.7;0.82;0.54;0.71;-23.299.332;-48.054.657
Quatá;13710;651.34;78856.64;107147.83;55295.69;180119.11;36525.76;457945.02;33674.9;0.74;0.71;0.81;0.7;0.79;-222.470.977;-507.003.624
Queiroz;3183;234.91;115928.87;139229.41;19664.04;68838.21;25196.44;368856.97;117620.21;0.72;0.66;0.81;0.68;0.78;-217.991.405;-502.392.786
Queluz;12404;249.4;3189.64;49465.04;51784.61;189917.29;30758.8;325115.38;26464.42;0.72;0.66;0.82;0.69;0.67;-225.371.881;-447.752.585
Quintana;6403;318.94;27087.55;46080.66;25063.31;47793.59;11222.29;157247.4;24743.89;0.73;0.69;0.81;0.7;0.75;-220.705.513;-50.308.652
Rafard;8893;121.64;22493.29;132839.98;37114.01;96910.47;36685.3;326043.05;36832.7;0.74;0.72;0.82;0.7;0.78;-230.142.111;-475.275.786
Rancharia;28828;1587.5;313294.33;367254.3;113157.93;441655.39;88350.14;1323712.1;45933.52;0.75;0.72;0.86;0.68;0.8;-222.294.981;-508.922.333
Redenção da Serra;3841;309.44;9716.73;4245.24;19002.21;22123.42;1943.89;57031.5;14840.36;0.66;0.63;0.8;0.56;0.71;-232.812.573;-455.348.457
Regente Feijó;19298;263.28;60913.75;99424.07;80225.47;336947.59;78410.62;655921.49;34157.24;0.77;0.74;0.82;0.75;0.81;-22.218.131;-5.130.545
Reginópolis;7232;410.41;58874.16;5892.39;34753.47;43563.79;4060.03;147143.84;20320.93;0.73;0.72;0.82;0.66;0.6;-218.884.118;-4.922.273
Registro;54133;722.2;128798.56;145063.38;208542.79;1251409.33;217113.72;1950927.78;36067.51;0.75;0.72;0.85;0.7;0.8;-24.497.942;-47.844.895
Restinga;7309;245.75;37959.54;41843.14;33543.44;42056.89;11140.18;166543.19;23073.32;0.7;0.66;0.83;0.64;0.72;-20.605.593;-47.483.254
Ribeira;3257;335.75;10320.58;2851.39;15766.86;14680.12;3684.79;47303.74;14492.57;0.7;0.64;0.8;0.67;0.72;-246.577.435;-490.086.372
Ribeirão Bonito;12791;471.55;69073.6;23415.03;50020.42;120146.89;10492.11;273148.04;21495.87;0.71;0.71;0.81;0.62;0.73;-203.581.061;-496.591.902
Ribeirão Branco;17710;697.5;205710.76;17987.03;62869.36;86582.47;7168.57;380318.18;21459.02;0.64;0.59;0.8;0.55;0.69;-242.202.558;-487.581.506
Ribeirão Corrente;4587;148.33;25412.71;7112.13;22347.43;29696.17;2282.49;86850.93;19096.51;0.71;0.69;0.81;0.64;0.75;-20.457.872;-47.590.394
Ribeirão Grande;7493;333.36;15971.45;169641.26;33204.2;59054.05;18353.07;296224.03;39586.27;0.7;0.64;0.81;0.68;0.73;-231.309.465;-484.357.073
Ribeirão Pires;117917;99.08;1259.88;659195.72;438454.28;1597446.41;350108.71;3046465.0;25950.55;0.78;0.75;0.85;0.76;0.84;-237.110.754;-46.414.406
Ribeirão Preto;669180;650.92;119098.04;5305064.63;2781989.58;23253567.1;3856123.83;35315843.18;53347.44;0.8;0.82;0.84;0.74;0.87;-21.178.333;-478.066.671
Ribeirão do Sul;4371;203.21;35129.45;10949.08;19371.86;64507.05;11986.34;141943.77;32422.06;0.75;0.75;0.82;0.68;0.78;-227.535;-499.169.002.941.176
Ribeirão dos Índios;2148;196.45;12120.28;1976.46;13635.88;9205.77;784.21;37722.61;17520.95;0.72;0.66;0.81;0.7;0.67;-218.378.246;-51.602.158
Rifaina;3460;162.51;27746.39;14165.58;21611.38;42517.62;5725.19;111766.15;32321.04;0.74;0.71;0.82;0.69;0.73;-20.080.256;-47.429.109
Rincão;10476;316.64;60499.57;28563.98;42880.18;73207.69;8614.26;213765.68;20424.77;0.73;0.7;0.83;0.68;0.71;-215.881.095;-480.724.258
Rinópolis;9757;358.48;87746.0;9358.68;37732.89;93571.1;13623.62;242032.29;24757.8;0.72;0.7;0.84;0.64;0.77;-217.283.596;-507.227.246
Rio Claro;198330;498.42;70869.55;3198746.28;853758.79;3972683.05;1322332.98;9418390.65;47832.4;0.8;0.78;0.86;0.77;0.84;-224.100.108;-475.603.933
Rio Grande da Serra;48648;36.34;610.86;168059.04;153046.27;245362.79;43858.94;610937.89;12707.75;0.75;0.68;0.82;0.74;0.73;-23.743.724;-46.397.084
Rio das Pedras;33493;226.66;38751.84;261870.6;141122.7;528575.91;223832.13;1194153.18;36141.56;0.76;0.74;0.84;0.7;0.78;-238.686.949;-464.629.265
Riolândia;11256;631.9;89047.89;15127.0;50410.48;65839.1;5929.34;226353.81;20264.44;0.7;0.68;0.82;0.63;0.71;-19.980.944;-496.814.309
Riversul;5779;385.88;14352.1;4230.73;24528.12;19937.49;1845.37;64893.81;11155.89;0.66;0.63;0.8;0.58;0.67;-238.303.603;-494.340.558
Rosana;18588;744.01;43658.88;911244.5;102730.45;182153.47;15312.58;1255099.88;67157.14;0.76;0.75;0.82;0.73;0.71;-225.788.641;-530.552.246
Roseira;10439;130.65;3330.19;86680.76;44217.82;117076.75;32201.55;283507.06;27421.13;0.74;0.69;0.82;0.7;0.78;-229.012.387;-453.100.121
Rubiácea;3034;236.48;28042.71;3237.7;15565.38;13872.93;1297.59;62016.3;20678.99;0.72;0.68;0.82;0.67;0.74;-21.300.568;-50.729.564
Sabino;5422;305.29;38612.96;4834.46;27256.62;43388.36;4018.27;118110.66;21876.4;0.73;0.71;0.81;0.67;0.74;-214.598.472;-495.776.811
Sagres;2363;147.94;15610.71;2107.15;12828.32;11895.93;856.94;43299.06;18308.27;0.73;0.69;0.83;0.68;0.69;-218.840.628;-509.574.608
Sales;5942;308.56;42494.13;5855.26;28375.71;60929.77;4689.25;142344.13;24171.19;0.75;0.71;0.86;0.7;0.68;-213.418.263;-494.999.228
Sales Oliveira;11342;305.78;82711.0;65689.8;44703.71;143403.27;22798.89;359306.68;31924.18;0.77;0.74;0.84;0.74;0.74;-20.769.612;-47.836.873
Salesópolis;16590;425.0;18431.82;10414.64;62428.72;99432.2;9914.33;200621.71;12182.52;0.73;0.69;0.83;0.69;0.69;-23.528.805;-4.584.653
Salmourão;5053;172.93;19755.1;4875.9;21569.7;23054.98;1687.67;70943.35;14126.51;0.72;0.68;0.85;0.65;0.62;-216.238.069;-508.607.882
Saltinho;7721;99.74;14662.19;44656.73;34502.73;107486.71;33096.62;234404.97;30633.16;0.79;0.77;0.86;0.75;0.83;-218.815.169;-479.177.149
Salto;113416;133.06;11522.37;1612488.05;432949.89;3589788.32;1222254.67;6869003.31;61085.5;0.78;0.76;0.84;0.75;0.83;-231.989.983;-472.913.682
Salto Grande;9029;188.44;22704.6;57893.26;36296.72;80043.35;12843.82;209781.74;23319.45;0.7;0.66;0.82;0.64;0.68;-228.744.071;-499.582.163.079.887
Salto de Pirapora;43433;280.51;16309.88;764871.79;165449.08;479480.1;206951.37;1633062.22;37940.25;0.73;0.7;0.83;0.66;0.75;-236.492.626;-475.729.991
Sandovalina;4108;455.86;88841.74;230094.45;30176.41;41268.48;6409.83;396790.91;97755.83;0.71;0.66;0.81;0.66;0.82;-22.455.099;-51.764.822
Santa Adélia;14787;330.27;83728.24;10889.65;58216.37;152134.25;18292.06;323260.57;21938.28;0.76;0.75;0.84;0.7;0.74;-212.432.992;-488.061.481
Santa Albertina;5685;272.69;25439.27;63704.08;28596.36;63230.83;13044.62;194015.16;34091.58;0.73;0.72;0.81;0.66;0.79;-200.323.485;-507.278.392
Santa Branca;14099;272.24;4751.52;72223.77;60466.48;95792.56;13333.88;246568.21;17538.1;0.74;0.71;0.83;0.68;0.76;-233.974.353;-458.842.294
Santa Bárbara d'Oeste;187109;271.03;24818.34;1340919.39;733330.84;2621172.07;774649.59;5494890.22;29495.48;0.78;0.75;0.87;0.73;0.82;-227.552.511;-474.144.958
Santa Clara d'Oeste;2024;183.46;23423.32;6919.04;14902.4;19671.73;2241.98;67158.48;33001.71;0.73;0.71;0.8;0.69;0.83;-200.938.889;-509.263.889
Santa Cruz da Conceição;4280;150.13;21236.17;11168.23;24882.21;47833.27;12758.88;117878.76;27755.77;0.79;0.83;0.88;0.68;0.84;-221.356.943;-474.511.588
Santa Cruz da Esperança;2054;148.06;22551.8;3945.49;14368.57;13663.76;1074.15;55603.78;27243.4;0.74;0.72;0.83;0.69;0.71;-212.918.648;-474.309.885
