City;Population;Area KM2;Farming;Industry;Public administration;Public services;Taxes;GDP;GDP per capita;HDI-M;HDI-R;HDI-L;HDI-E;FMDI;Latitude;Longitude
São Caetano do Sul;150988;15.33;19.1;2904911.64;1071207.59;6645659.14;2485161.24;13106958.71;86881.6;0.86;0.89;0.89;0.81;0.9;-236.195.923;-465.688.323
São Carlos;238834;1136.91;149459.98;3047304.08;983834.1;5086469.09;1208587.32;10475654.56;44208.91;0.8;0.79;0.86;0.77;0.87;-220.183.367;-47.890.932
São Francisco;2700;75.58;15870.83;2599.81;15416.67;13096.94;1001.1;47985.35;17693.71;0.72;0.7;0.81;0.66;0.72;-20.372;-506.621.558.441.558
São Joaquim da Barra;49569;410.86;80512.06;409132.65;182596.08;715059.06;146353.4;1533653.25;31159.15;0.76;0.74;0.85;0.71;0.77;-205.817.899;-478.606.374
São José da Bela Vista;8658;276.95;64474.07;5205.97;36048.48;50616.88;4685.43;161030.83;18672.41;0.69;0.68;0.84;0.58;0.68;-205.934.194;-476.416.942
São José do Barreiro;4069;570.68;6969.58;1884.62;20893.77;15744.85;1445.8;46938.62;11535.66;0.68;0.67;0.81;0.59;0.66;-226.452.376;-445.805.246
São José do Rio Pardo;52960;419.68;108904.92;356114.75;207998.62;873269.46;180972.83;1727260.59;32689.12;0.77;0.74;0.87;0.72;0.85;-21.595.288;-46.887.303
São José do Rio Preto;440796;431.94;50007.68;1864500.92;1575732.09;11405587.9;1598139.44;16493968.03;37720.07;0.8;0.8;0.85;0.75;0.9;-208.125.851;-493.804.212
São José dos Campos;695163;1099.41;16412.71;15867490.19;2589198.54;16515347.97;4840954.5;39829403.91;57929.97;0.81;0.8;0.86;0.76;0.81;-231.805.011;-458.872.969
São João da Boa Vista;86679;516.4;76834.5;553257.59;349097.44;1659526.37;284603.49;2923319.38;33854.7;0.8;0.78;0.87;0.75;0.88;-219.778.137;-467.881.722
São João das Duas Pontes;2492;129.46;13168.43;3511.51;13851.01;10704.62;796.16;42031.72;16805.97;0.72;0.68;0.81;0.69;0.63;-203.878.223;-50.378.858
São João de Iracema;1838;178.4;10153.76;1197.71;13224.29;9439.99;848.61;34864.37;19030.77;0.75;0.68;0.83;0.74;0.67;-205.134.345;-50.352.595
São Lourenço da Serra;15246;186.46;1346.19;19115.11;58471.94;109850.29;17968.43;206751.97;13708.52;0.73;0.7;0.82;0.67;0.8;-238.535.923;-469.440.587
São Luís do Paraitinga;10531;617.32;16024.34;8690.24;44567.34;92097.29;11489.25;172868.46;16446.43;0.7;0.69;0.83;0.59;0.67;-232.220.188;-453.108.724
São Manuel;39326;650.73;123024.57;174851.85;149285.42;567544.85;90007.85;1104714.53;28180.06;0.74;0.74;0.8;0.7;0.8;-22.732.081;-48.572.316
São Miguel Arcanjo;31872;930.34;237311.61;46423.63;111429.86;253222.96;27974.84;676362.89;21263.26;0.71;0.71;0.8;0.63;0.77;-238.807.771;-479.963.492
São Paulo;11753659;1521.11;37648.7;59119808.83;42958613.89;474646034.4;122526246.4;699288352.2;59788.23;0.8;0.84;0.86;0.72;0.85;-235.506.507;-466.333.824
São Pedro;33725;611.28;71831.01;61464.99;129512.93;426567.62;52062.83;741439.39;22141.77;0.76;0.74;0.86;0.67;0.74;-2.255.826.505;-479.342.666.762.494
São Pedro do Turvo;7329;731.22;66573.31;19000.92;31368.95;71976.84;13780.51;202700.54;27736.8;0.7;0.66;0.83;0.64;0.75;-22.745.286;-49.742.829
São Roque;85844;306.91;29215.39;398475.21;328527.04;1607859.02;360694.09;2724770.75;32033.89;0.77;0.76;0.86;0.69;0.82;-235.304.843;-471.355.473
São Sebastião;84569;402.4;12046.39;352263.26;558119.49;1362827.8;425929.58;2711186.53;32541.79;0.77;0.75;0.88;0.7;0.79;-238.027.866;-454.070.527
São Sebastião da Grama;11952;252.41;77740.18;37006.26;44223.35;149818.74;17970.43;326758.97;27320.98;0.72;0.7;0.82;0.72;0.77;-217.118.854;-468.284.162
São Simão;14742;617.25;84368.03;60015.48;69938.09;212866.39;38519.28;465707.27;31704.49;0.77;0.73;0.85;0.72;0.73;-214.800.208;-475.531.095
São Vicente;352794;148.1;3169.65;413975.43;1316031.5;3138752.75;332377.01;5204306.34;14858.66;0.77;0.74;0.86;0.72;0.77;-239.603.686;-463.847.024
Tabapuã;11803;345.79;62153.06;17536.09;48540.12;103936.34;9786.7;241952.3;20575.93;0.74;0.73;0.82;0.67;0.74;-209.648.397;-490.332.398
Tabatinga;15658;368.6;77448.32;22486.41;59510.14;108332.29;10447.94;278225.09;17903.8;0.7;0.7;0.82;0.61;0.78;-2.173.143.155;-4.867.961.383.875
Taboão da Serra;275988;20.39;192.1;2256459.52;933986.85;4394203.33;1259044.62;8843886.42;32498.76;0.77;0.74;0.86;0.71;0.81;-236.121.912;-467.790.539
Taciba;5987;607.27;57480.03;10008.89;34730.25;43704.25;6150.19;152073.61;25541.42;0.72;0.68;0.81;0.68;0.72;-223.901.284;-512.888.486
Taguaí;12834;145.33;27348.03;20680.99;47329.08;112075.82;18314.86;225748.79;17919.41;0.71;0.69;0.82;0.63;0.84;-234.534.312;-494.054.454
Taiaçu;6009;107.06;24515.42;3273.54;23397.03;37581.14;3812.18;92579.31;15440.18;0.71;0.7;0.81;0.63;0.72;-21.143.144;-48.511.203
Tambaú;22712;561.79;70470.65;95929.98;83302.1;241697.69;43138.33;534538.76;23583.29;0.73;0.73;0.86;0.62;0.74;-2.170.292;-47.270.344
Tanabi;24926;747.22;128070.57;281471.21;103047.78;358100.55;67785.49;938475.6;37785.38;0.75;0.74;0.83;0.69;0.8;-206.251.635;-496.519.879
Tapiratiba;12627;221.89;64610.82;77680.13;50115.21;114393.88;19419.04;326219.08;25818.68;0.75;0.7;0.87;0.69;0.76;-2.146.824;-467.493.221
Tapiraí;7732;755.1;46341.39;14022.36;32515.04;47502.74;5304.53;145686.06;18800.63;0.68;0.65;0.85;0.58;0.7;-239.638.345;-475.067.136
Taquaral;2743;53.89;9662.25;1635.61;14545.98;10711.99;1476.11;38031.95;13885.34;0.76;0.74;0.82;0.72;0.82;-2.107.373;-48.412.553
Taquaritinga;54381;594.34;127787.11;239434.24;219914.5;777634.16;104331.44;1469101.44;27044.82;0.75;0.73;0.83;0.7;0.8;-21.407.486;-485.054.848
Taquarituba;23029;448.52;52874.69;69516.43;85512.4;377581.21;65147.4;650632.14;28353.69;0.7;0.7;0.81;0.61;0.79;-235.337.307;-492.452.541
Taquarivaí;5622;231.79;64949.45;14332.56;26042.11;116488.57;20887.53;242700.22;43651.12;0.68;0.62;0.81;0.63;0.74;-239.257.829;-487.005.328
Tarabai;7135;201.38;15999.84;10435.62;29436.04;45922.18;6784.87;108578.55;15357.64;0.73;0.67;0.82;0.7;0.75;-223.038.726;-515.628.675
Tarumã;14428;302.91;70859.52;289285.26;63239.25;366233.33;100680.17;890297.54;62512.11;0.75;0.74;0.85;0.68;0.82;-227.474.736;-505.783.374
Tatuí;117558;523.75;116431.6;1015675.68;445486.24;1807459.13;456100.66;3841153.31;33029.11;0.75;0.73;0.84;0.69;0.84;-233.514.733;-478.552.438
Taubaté;301856;625.0;21266.73;5940670.17;1222656.17;6526335.69;3088794.67;16799723.43;56160.07;0.8;0.78;0.88;0.75;0.79;-23.031.448;-455.612.792
Tejupá;4707;296.19;41751.95;7024.11;21799.08;20218.58;876.48;91670.2;19458.76;0.67;0.67;0.79;0.56;0.69;-233.437.238;-493.772.468
Teodoro Sampaio;22219;1555.8;86845.78;73435.56;85762.55;209353.14;23785.35;479182.38;21660.9;0.74;0.7;0.86;0.68;0.8;-22.447;-523.338.461.538.462
Terra Roxa;8999;221.54;42937.87;12980.91;36266.22;51410.88;3984.11;147579.98;16509.67;0.75;0.73;0.84;0.68;0.72;-20.787.015;-48.331.442
Tietê;40244;404.4;62986.49;503690.77;170187.42;805337.22;197593.56;1739795.46;43673.95;0.78;0.76;0.88;0.7;0.83;-231.030.302;-477.147.937
Timburi;2572;196.79;14999.32;2450.22;15147.43;14139.13;1001.64;47737.74;18503.0;0.71;0.69;0.83;0.63;0.73;-232.064.076;-496.045.576
Torre de Pedra;2307;71.35;1751.63;1961.1;12979.94;10302.64;869.06;27864.37;12120.21;0.71;0.68;0.83;0.65;0.78;-232.478.026;-481.941.034
Torrinha;9635;315.27;36443.93;28969.22;34441.84;99047.05;14432.42;213334.46;22229.29;0.74;0.73;0.85;0.66;0.74;-224.302.536;-481.690.653
Trabiju;1670;63.42;11081.31;6990.02;11746.93;11420.54;1967.43;43206.23;26138.07;0.72;0.67;0.81;0.7;0.79;-220.410.733;-483.350.302
Tremembé;45066;191.09;7788.1;192728.91;173529.32;328629.45;65930.05;768605.83;17226.75;0.78;0.77;0.87;0.72;0.66;-234.482.881;-466.029.761
Três Fronteiras;5525;151.59;26896.42;12656.46;24392.06;39724.76;3876.44;107546.13;19504.2;0.75;0.71;0.83;0.73;0.72;-20.234.355;-50.890.528
Tuiuti;6439;126.73;24498.09;2977.51;25560.61;30305.46;2660.32;86002.0;13475.71;0.73;0.7;0.87;0.63;0.72;-22.819.324;-466.937.627
Tupi Paulista;14829;244.77;43654.73;8944.39;58266.61;158977.63;12317.75;282161.11;19058.5;0.77;0.76;0.84;0.72;0.75;-213.861.914;-515.761.284
Tupã;62950;627.99;154159.82;239609.03;222751.0;1012038.14;131854.73;1760412.73;27941.29;0.77;0.76;0.85;0.7;0.8;-219.349.029;-505.141.497
Turiúba;1917;153.24;16628.0;2534.38;13845.29;12379.61;1656.63;47043.9;24489.28;0.75;0.71;0.82;0.72;0.72;-209.491.284;-501.082.011
Turmalina;1836;147.8;31557.9;2936.41;13005.6;12641.96;1265.02;61406.89;33157.07;0.74;0.72;0.82;0.68;0.8;-200.530.658;-504.763.212
Ubarana;5914;209.86;48697.94;200126.12;29886.69;56760.2;13846.43;349317.38;59835.11;0.7;0.67;0.84;0.6;0.8;-211.637.674;-497.167.796
Ubatuba;86870;708.1;33054.58;218189.24;366796.1;1245923.87;100797.67;1964761.46;22881.72;0.75;0.74;0.84;0.68;0.77;-23.433.162;-45.083.415
Ubirajara;4616;282.18;27070.99;5781.46;22006.15;30973.63;3366.46;89198.69;19420.57;0.73;0.69;0.83;0.67;0.78;-225.261.054;-496.635.412
Uchoa;9645;252.43;68149.87;114066.73;44728.82;108880.43;34028.87;369854.73;38422.47;0.72;0.71;0.82;0.64;0.75;-20.951.106;-49.171.295
União Paulista;1712;79.06;19712.1;2447.36;12993.85;13034.18;925.24;49112.72;28923.87;0.75;0.7;0.86;0.7;0.64;-208.878.168;-498.986.804
Uru;1213;146.9;28719.27;2640.67;10988.66;11298.11;920.95;54567.66;44837.85;0.71;0.68;0.83;0.64;0.74;-217.846.064;-492.819.702
Urupês;13081;323.92;101330.51;20649.52;55027.15;189476.4;23559.32;390042.9;29913.56;0.74;0.74;0.82;0.68;0.75;-212.027.026;-492.921.996
Urânia;8660;209.26;64490.27;18691.08;32209.69;67809.69;7870.47;191071.2;22000.14;0.75;0.73;0.8;0.71;0.75;-20.244.491;-506.450.868
Valentim Gentil;12433;149.74;23580.57;109015.21;49234.24;118292.8;27879.48;328002.31;26736.41;0.74;0.71;0.81;0.69;0.79;-204.226.107;-500.861.511
Valinhos;121809;148.54;37344.77;1437530.96;551237.25;2732932.22;975454.57;5734499.77;47641.0;0.82;0.85;0.85;0.76;0.85;-2.297.056;-4.699.583
Valparaíso;23711;857.66;152793.59;360919.78;100450.88;305543.84;70225.94;989934.03;41992.62;0.72;0.72;0.82;0.64;0.72;-212.239.632;-508.653.953
Vargem;9762;142.6;8581.88;9476.03;36224.65;51294.49;7229.79;112806.84;11694.68;0.7;0.69;0.84;0.59;0.73;-228.902.379;-464.145.366
Vargem Grande Paulista;50797;42.49;26628.84;380874.3;204821.71;940985.05;251991.11;1805301.01;36220.48;0.77;0.76;0.88;0.68;0.84;-23.599.338;-47.022.038
Vargem Grande do Sul;41075;267.18;51673.87;123246.32;152642.51;522243.32;95779.36;945585.38;23140.38;0.74;0.72;0.86;0.64;0.78;-21.832.194;-46.891.286
Vera Cruz;10564;247.72;15959.42;6409.47;40495.81;65670.23;4979.34;133514.27;12614.73;0.75;0.72;0.83;0.72;0.73;-22.225;-498.077.362.170.084
Vinhedo;74858;81.6;9487.46;2632852.71;425112.26;3670369.72;1992113.57;8729935.72;118676.14;0.82;0.84;0.88;0.74;0.9;-230.295.183;-469.756.292
Viradouro;18148;217.73;43298.77;35060.48;71138.41;181360.23;25284.13;356142.02;19730.86;0.74;0.72;0.82;0.68;0.74;-20.873.382;-48.292.974
Vista Alegre do Alto;7802;95.43;30578.73;142273.88;34994.36;111702.84;34144.75;353694.55;45952.26;0.74;0.73;0.84;0.68;0.86;-21.171.293;-486.299.172
Vitória Brasil;1756;49.83;7395.44;1673.0;11981.88;11372.84;1364.22;33787.37;19252.07;0.72;0.69;0.81;0.68;0.72;-201.978.821;-504.847.947
Votorantim;117640;183.52;1024.62;650471.14;463135.61;1572318.97;314832.02;3001782.37;25752.67;0.77;0.72;0.84;0.75;0.8;-235.466.667;-474.377.778
Votuporanga;90432;420.7;47126.54;529123.93;332106.99;1666995.68;232703.73;2808056.86;31278.48;0.79;0.77;0.86;0.74;0.89;-204.252.506;-4.997.226
Várzea Paulista;118022;35.12;1779.84;841136.8;409110.78;1052837.58;353754.5;2658619.5;22765.08;0.76;0.72;0.86;0.7;0.8;-232.113.889;-468.283.333
Zacarias;2518;319.06;45569.97;7770.61;18688.38;19283.23;2208.21;93520.4;37438.11;0.73;0.7;0.83;0.67;0.8;-210.519.444;-500.508.333
Águas da Prata;7758;142.96;11287.88;17650.74;32012.99;80449.24;12372.36;153773.21;19869.91;0.78;0.75;0.89;0.72;0.69;-219.464.285;-467.192.121
Águas de Lindóia;18163;60.13;5822.62;37402.54;84727.57;310390.33;34640.77;472983.83;26192.48;0.74;0.72;0.85;0.68;0.83;-224.718.855;-466.291.034
Águas de Santa Bárbara;5865;404.46;43381.24;9102.16;31961.98;56537.48;7281.15;148264.01;25418.14;0.76;0.74;0.84;0.7;0.73;-228.821.912;-492.383.956
Águas de São Pedro;3043;3.61;0.0;8838.03;20471.18;89496.89;6339.5;125145.61;41659.66;0.85;0.85;0.89;0.82;0.82;-226.000.681;-478.750.887
Álvares Florence;3673;362.41;54505.34;4343.09;20015.68;24645.38;2401.34;105910.83;28624.55;0.73;0.7;0.81;0.68;0.8;-203.205.523;-499.085.255
Álvares Machado;23714;347.65;21247.96;91852.48;96296.95;239291.2;60757.41;509445.99;21516.49;0.76;0.71;0.83;0.73;0.7;-22.076.415;-5.147.224
Álvaro de Carvalho;4962;153.66;9807.34;2708.28;19157.37;16155.8;1654.25;49483.04;10053.44;0.69;0.67;0.8;0.6;0.61;-220.787.992;-497.194.861
Óleo;2550;198.94;52497.19;4080.83;14538.01;15767.17;1337.86;88221.06;34461.35;0.73;0.71;0.86;0.64;0.67;-229.422.754;-493.408.082
